file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
W2_028,0.0,1.7375,audio,-39.93367793642241,-44.22081756591797,11.630214163475365,12.825804329918284
W5_213,0.0,2.086875,audio,-43.63056967703349,-47.99508939470564,10.99512522511246,13.911364163256017
W5_041,0.0,1.6053125,audio,-44.026303498641305,-47.34973653157552,10.978395466975062,14.129687923685548
S7_019,0.0,4.4365625,audio,-47.8385108741554,-53.841700962611604,10.737107543528538,14.87028962443463
S8_028,0.0,4.1004375,audio,-45.53268387957317,-51.29463158884356,10.033312872406137,17.76880989500976
W5_007,0.0,1.7658125,audio,-40.195406294138415,-44.8805300394694,9.9234039517373,12.917743784107152
W2_045,0.0,1.7375,audio,-38.30176903735632,-41.31193288167318,9.279260277704724,11.318351883519405
W5_057,0.0,1.756375,audio,-46.86103959517045,-47.485528310139976,9.23328675735972,11.971877093203325
W5_210,0.0,2.124625,audio,-46.58733785377358,-56.52179718017578,9.10865439035405,14.520508452000886
W5_168,0.0,1.841375,audio,-40.67750350288723,-47.313965797424316,8.75547268633687,12.985666194921219
W2_052,0.0,1.718625,audio,-40.926675486010176,-44.089908599853516,8.557831049032407,9.617750910669422
W5_008,0.0,2.086875,audio,-42.103973534689,-44.24517822265625,8.532089671586276,12.348403422761752
W5_199,0.0,1.9924375,audio,-43.52068938442211,-49.776768275669646,8.417201641565502,16.168229563368772
S7_049,0.0,4.3111875,audio,-51.528259135730856,-56.373274343985095,8.207685416001,15.740618754276909
W5_227,0.0,2.3606875,audio,-45.24440131753178,-52.04433470505934,8.12792902048309,15.333154756510822
W5_195,0.0,2.086875,audio,-44.33873168361244,-52.68402099609375,7.942239807328293,14.52427814981863
W5_174,0.0,1.9735625,audio,-43.050156646573605,-48.49380874633789,7.55822155574119,13.264950003317928
W2_053,0.0,1.898,audio,-39.13196443256579,-38.960805892944336,7.502245718391285,12.188414353573162
W3_185,0.0,2.52125,audio,-43.46617296006944,-55.11911916732788,7.132470308074812,11.622007959738731
S8_027,0.0,5.499625,audio,-45.345681818181816,-51.269451050531295,7.022993659009808,17.17733728513543
W2_030,0.0,1.5864375,audio,-41.31141595420598,-43.18522262573242,6.9827097537902665,14.633472779373786
W2_043,0.0,1.8319375,audio,-37.32197479081284,-44.79770024617513,6.902766924216019,10.619086487075045
W5_022,0.0,1.6241875,audio,-42.01483531057099,-45.16651725769043,6.868648069788867,12.173645985725603
W5_024,0.0,1.6525,audio,-42.34357836174242,-51.3778928120931,6.794053988551659,13.707432053102345
W1_201,0.0,1.863125,audio,-39.63056798135081,-45.909215688705444,6.730179866129406,15.800207008376143
S8_116,0.0,3.46675,audio,-46.90142347352305,-52.54049793879191,6.57993248171803,16.98885335951025
W5_205,0.0,2.455125,audio,-46.86138370172764,-52.68317713056292,6.51093676629427,15.326714523303973
S5_049,0.0,4.5275625,audio,-52.33418701710817,-51.78144968472994,6.377920129591209,12.858509189163016
W2_205,0.0,2.294625,audio,-42.27996639601528,-50.14156074523926,6.321733470939391,13.073216206264128
W2_194,0.0,2.3513125,audio,-40.193837267287236,-48.30077203114828,6.233143045143066,13.389793784635376
S7_046,0.0,3.428625,audio,-48.345008427478135,-51.47479306734525,6.166058095407669,16.363454761745793
W5_196,0.0,2.10575,audio,-44.810856968305686,-50.28855438232422,6.129580762817434,13.417957171329531
S5_083,0.0,2.0548125,audio,-53.28131669207317,-57.134915232658386,6.051281007145258,18.69278908981156
W5_173,0.0,1.983,audio,-40.88735992739899,-45.69424629211426,6.044733896124687,12.480765187932704
W5_030,0.0,1.8696875,audio,-43.68276602189171,-47.43921788533529,5.961387375860423,13.792727424717166
W5_193,0.0,1.86025,audio,-42.248070501512096,-47.73017011369978,5.9484008358766935,14.013151436857775
W5_050,0.0,1.7375,audio,-40.463566922593394,-46.12248102823893,5.941586507083898,13.210260671696226
W5_223,0.0,3.18225,audio,-47.153357163915096,-52.824727821350095,5.906649795297178,15.456867884311048
S5_086,0.0,4.7340625,audio,-49.222057511892174,-55.69313000094506,5.754299556819172,14.756082274369255
S7_015,0.0,3.9936875,audio,-47.630374765037594,-53.089343498493065,5.676464365129672,15.578440763733106
W5_202,0.0,3.0595,audio,-46.527870327818626,-51.60789346694946,5.62216468886532,16.749686192574316
S7_027,0.0,3.107875,audio,-47.40580724979903,-50.496725223682546,5.5535635713040445,14.546420366976342
W5_049,0.0,1.7280625,audio,-40.19189170881503,-44.80808893839518,5.546051603471754,12.521269573708032
W5_189,0.0,1.8696875,audio,-44.33685661764706,-49.477004051208496,5.348169779136306,16.081584249977155
W5_204,0.0,2.60625,audio,-48.820447198275865,-54.02667438282686,5.3253869410205965,15.72797769261058
S8_007,0.0,6.272,audio,-46.93008933911483,-51.24817726828835,5.302811251354763,9.192461875371603
S5_031,0.0,3.2604375,audio,-47.091221721625764,-47.22942014840933,5.251376896203824,16.10204256301556
W5_219,0.0,2.1340625,audio,-44.35278664172535,-50.55026279796254,5.186701264680854,13.834098304402193
